Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\bt4-password.txt, processing time (ms): 3573310, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\darkc0de.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\darkweb2017-top10000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\days.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\Keyboard-Combinations.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\months.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\Most-Popular-Letter-Passes.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\mssql-passwords-nansh0u-guardicore.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\openwall.net-all.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\probable-v2-top12000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\probable-v2-top1575.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\richelieu-french-top20000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\richelieu-french-top5000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\scraped-JWT-secrets.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\seasons.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\unkown-azul.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\xato-net-10-million-passwords-10000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\xato-net-10-million-passwords-100000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\xato-net-10-million-passwords-1000000.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: a, mode: 1, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\xato-net-10-million-passwords-dup.txt, processing time (ms): -1, password strength: , type of RAR: 3
Original password: b, mode: 2, password length: 1, dictionary: C:\Users\Ehlimana\Downloads\SecLists-master\Passwords\top20\bt4-password.txt, processing time (ms): 1482211, password strength: , type of RAR: 3
